source_irn,source_sku,source_invoice_link
IRNCbHoV2jzhI7Szznd,SHXD78CDW6617Q6120AB,https://udaan.azureedge.net/document-receipt/p2pnrfogneg1515uif92.jpg
IRNwMUlyE5HOl2EcXsM,SNFCL33D8F19493BF1DC,https://udaan.azureedge.net/document-receipt/vyc62uge94txhtbyodv8.jpg
IRNcqPWflqvVa32e4TD,SXVZ85486808080935F9,https://udaan.azureedge.net/document-receipt/f8xebc30rk74tmy9hu7d.jpg
IRNNeMKzkK1xE6bsUxq,SA7Z9308ZBCF9QP05N79,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNP769gT9QaAF3BLNP,SC4AEF260289GA88DBBG,https://udaan.azureedge.net/document-receipt/z72ixods8u8ch4uls0a7.jpg
IRNShTC1clzeG2ceYp9,SEAAAA393C2F6A63YQFQ,https://udaan.azureedge.net/document-receipt/nv0q9li3zv9b3t1ofugl.jpg
IRNxc2nTIIOTSi4fFbq,SB9Z1EN89ZE6B97342F3,https://udaan.azureedge.net/document-receipt/qoy5k07qg9m37h5oxcxg.jpg
IRNrEGBWkyCrcw39ofP,S80M4A9F0469739D6C0D,https://udaan.azureedge.net/document-receipt/db13r5rtyq54lkzga7iw.jpg
IRNhitiy5mR9HYJxl1A,S4CDQ4X94ZD4BDC0F44D,https://udaan.azureedge.net/document-receipt/tzxea97vvkw3645xvmeq.jpg
IRNy5agHTG4z5R7uS7O,SV7EFBFCV70AAB4BC1AZ,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
IRN1UTUwmDLmwoGx6Ku,S66P78EB49BFK8N95B54,https://udaan.azureedge.net/document-receipt/iskyew3nwvjry3nr1q8q.jpg
IRN0cOFFzJ4Wln3KwhI,SS8D887EABE88772B80C,https://udaan.azureedge.net/document-receipt/gqsdvlr7gj69ja9t5top.jpg
IRN5mCZDQExReMICSI5,S0210CB94M65ACF721GR,https://udaan.azureedge.net/document-receipt/xydums1y7wixbdukrzek.jpg
IRNOte3Gu5yF27gjGYM,S8703FV7311648CF4646,https://udaan.azureedge.net/document-receipt/u6dzktl8ldmacvxxvr4x.jpg
IRNVelaGHqNf83edMYP,SE70ADP0CYEG971E68EB,https://udaan.azureedge.net/document-receipt/znn42ary5ej0d6tvaddz.jpg
IRN3oHO1VdJMAn9ciCE,SMLX7DF3BEFDD4F8BF1F,https://udaan.azureedge.net/document-receipt/ghxjoaawkdvj7vugw7ux.jpg
IRNNFKvhFQjeYV6StK5,S6CCC8J848EY0E5RELE2,https://udaan.azureedge.net/document-receipt/qvjf409vxv8fsch7go4n.jpg
IRNpr0MAjH9QvhATv70,S6548E9DAZ07E46PK4A7,https://udaan.azureedge.net/document-receipt/agtnt3ie8ng628r9mfa4.jpg
IRNwNReSW455KBdIQLq,S9X5Y40F49BA4E8B40F4,https://udaan.azureedge.net/document-receipt/9sk3ubzm7qnh0pgdy0vr.jpg
